epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.257948,0.008387,0.040799,0.0,0.0,0.0,0.07,0.13,0.25,0.0,0.0,0.0
1,0.070718,0.008495,0.058245,0.0,0.0,0.0,0.03,0.04,0.15,0.0,0.0,0.0
2,0.031757,0.007693,0.091931,0.0,0.0,0.0,0.01,0.04,0.21,0.0,0.0,0.0
3,0.029246,0.004826,0.060373,0.0,0.0,0.0,0.05,0.06,0.16,0.0,0.0,0.0
4,0.027281,0.006987,0.096312,0.0,0.0,0.0,0.02,0.06,0.34,0.0,0.0,0.0
5,0.027471,0.006639,0.098944,0.0,0.0,0.0,0.01,0.04,0.21,0.0,0.0,0.0
6,0.027275,0.006297,0.088948,0.0,0.0,0.0,0.0,0.05,0.22,0.0,0.0,0.0
7,0.026646,0.00678,0.107619,0.0,0.0,0.0,0.01,0.08,0.28,0.0,0.0,0.0
8,0.027206,0.006586,0.112509,0.0,0.0,0.0,0.0,0.07,0.26,0.0,0.0,0.0
9,0.028542,0.006716,0.112237,0.0,0.0,0.0,0.0,0.08,0.27,0.0,0.0,0.0
10,0.027392,0.007036,0.120286,0.0,0.0,0.0,0.01,0.08,0.27,0.0,0.0,0.0
11,0.027431,0.007392,0.128352,0.0,0.0,0.0,0.02,0.08,0.26,0.0,0.0,0.0
12,0.026431,0.006255,0.116878,0.0,0.0,0.0,0.0,0.09,0.24,0.0,0.0,0.0
13,0.02774,0.007134,0.120865,0.0,0.0,0.0,0.0,0.1,0.27,0.0,0.0,0.0
14,0.027685,0.006857,0.123543,0.0,0.0,0.0,0.0,0.09,0.26,0.0,0.0,0.0
