epoch, train_conf_loss, train_dice, train_comp, val_conf_loss, val_dice, val_comp, train_top10, train_top50, train_top300, val_top10, val_top50, val_top300
    0,        0.176135,   0.009997,   0.049781,           0.0,      0.0,      0.0,    0.116211,    0.158203,     0.314453,       0.0,       0.0,        0.0
    1,        0.061546,   0.010245,   0.086032,           0.0,      0.0,      0.0,    0.06543 ,    0.130859,     0.401367,       0.0,       0.0,        0.0
    2,        0.035208,   0.009397,   0.097564,           0.0,      0.0,      0.0,    0.010742,    0.053711,     0.224609,       0.0,       0.0,        0.0
    3,        0.031474,   0.007702,   0.10795 ,           0.0,      0.0,      0.0,    0.009766,    0.036133,     0.192383,       0.0,       0.0,        0.0
    4,        0.031274,   0.008785,   0.133337,           0.0,      0.0,      0.0,    0.012695,    0.049805,     0.246094,       0.0,       0.0,        0.0
    5,        0.029983,   0.007865,   0.141279,           0.0,      0.0,      0.0,    0.010742,    0.046875,     0.220703,       0.0,       0.0,        0.0
    6,        0.030982,   0.008258,   0.151154,           0.0,      0.0,      0.0,    0.007812,    0.042969,     0.240234,       0.0,       0.0,        0.0
    7,        0.030901,   0.008386,   0.157382,           0.0,      0.0,      0.0,    0.008789,    0.051758,     0.268555,       0.0,       0.0,        0.0
    8,        0.031379,   0.008559,   0.15892 ,           0.0,      0.0,      0.0,    0.010742,    0.055664,     0.251953,       0.0,       0.0,        0.0
0,1.79875,0.016869,0.118654,0.0,0.0,0.0,0.027344,0.120117,0.458984,0.0,0.0,0.0
1,1.698287,0.025291,0.172678,0.0,0.0,0.0,0.055664,0.219727,0.599609,0.0,0.0,0.0
2,1.570226,0.030813,0.216747,0.0,0.0,0.0,0.087891,0.324219,0.678711,0.0,0.0,0.0
3,1.628126,0.037354,0.250814,0.0,0.0,0.0,0.120117,0.399414,0.742188,0.0,0.0,0.0
4,1.552387,0.03854,0.251151,0.0,0.0,0.0,0.098633,0.367188,0.724609,0.0,0.0,0.0
5,1.557229,0.04226,0.26366,0.0,0.0,0.0,0.089844,0.373047,0.749023,0.0,0.0,0.0
6,1.509588,0.04517,0.284624,0.0,0.0,0.0,0.135742,0.413086,0.742188,0.0,0.0,0.0
7,1.509051,0.048502,0.304353,0.0,0.0,0.0,0.130859,0.424805,0.754883,0.0,0.0,0.0
8,1.503301,0.05036,0.314512,0.0,0.0,0.0,0.162109,0.478516,0.769531,0.0,0.0,0.0
9,1.439733,0.051718,0.334134,0.0,0.0,0.0,0.164062,0.493164,0.75293,0.0,0.0,0.0
