epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,1.506423,0.053296,0.333027,0.0,0.0,0.0,0.169922,0.475586,0.771484,0.0,0.0,0.0
1,1.53592,0.049829,0.312146,0.0,0.0,0.0,0.146484,0.443359,0.766602,0.0,0.0,0.0
2,1.475465,0.051292,0.325113,0.0,0.0,0.0,0.166992,0.480469,0.753906,0.0,0.0,0.0
3,1.480363,0.053483,0.341003,0.0,0.0,0.0,0.195312,0.510742,0.769531,0.0,0.0,0.0
4,1.507927,0.059114,0.370676,0.0,0.0,0.0,0.239258,0.575195,0.783203,0.0,0.0,0.0
5,1.492579,0.06036,0.378546,0.0,0.0,0.0,0.286133,0.603516,0.789062,0.0,0.0,0.0
6,1.464656,0.0647,0.395212,0.0,0.0,0.0,0.318359,0.629883,0.795898,0.0,0.0,0.0
7,1.451138,0.067077,0.407352,0.0,0.0,0.0,0.337891,0.638672,0.790039,0.0,0.0,0.0
8,1.431477,0.066578,0.403433,0.0,0.0,0.0,0.317383,0.643555,0.783203,0.0,0.0,0.0
9,1.44417,0.068862,0.412384,0.0,0.0,0.0,0.388672,0.65332,0.797852,0.0,0.0,0.0
