epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.651073,0.009478,0.044766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.369123,0.00632,0.003761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.238894,0.0068,0.010692,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
3,0.191018,0.00865,0.039319,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
4,0.176909,0.010213,0.066893,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
5,0.168689,0.010249,0.068885,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
6,0.161929,0.01002,0.062529,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
7,0.156076,0.010023,0.064363,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
8,0.150239,0.010173,0.076349,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
9,0.144895,0.010314,0.086318,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
10,0.140017,0.010245,0.085343,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0
11,0.135429,0.010281,0.091312,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
12,0.131075,0.010298,0.094921,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
13,0.127029,0.010276,0.09531,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0
14,0.123109,0.010399,0.103923,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.0
15,0.119474,0.01053,0.11012,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.0
16,0.11613,0.010287,0.10066,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.0
17,0.112826,0.010361,0.107099,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.0
18,0.109781,0.010446,0.111621,0.0,0.0,0.0,0.1,0.1,0.6,0.0,0.0,0.0
19,0.106849,0.010521,0.116018,0.0,0.0,0.0,0.1,0.1,0.6,0.0,0.0,0.0
20,0.104073,0.010532,0.120301,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0
21,0.101511,0.010623,0.125304,0.0,0.0,0.0,0.1,0.1,0.6,0.0,0.0,0.0
22,0.099105,0.010778,0.127527,0.0,0.0,0.0,0.1,0.3,0.6,0.0,0.0,0.0
23,0.096679,0.010925,0.155267,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0
24,0.094661,0.010905,0.156882,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0
25,0.092479,0.010799,0.137067,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0
26,0.090639,0.011087,0.162775,0.0,0.0,0.0,0.1,0.5,0.6,0.0,0.0,0.0
27,0.088768,0.010986,0.184947,0.0,0.0,0.0,0.0,0.5,0.7,0.0,0.0,0.0
28,0.087055,0.011781,0.222152,0.0,0.0,0.0,0.1,0.4,0.6,0.0,0.0,0.0
29,0.085519,0.011324,0.151667,0.0,0.0,0.0,0.2,0.4,0.7,0.0,0.0,0.0
30,0.083857,0.011898,0.189204,0.0,0.0,0.0,0.1,0.4,0.7,0.0,0.0,0.0
31,0.082334,0.01209,0.244706,0.0,0.0,0.0,0.2,0.5,1.0,0.0,0.0,0.0
32,0.081034,0.012515,0.265658,0.0,0.0,0.0,0.2,0.5,0.8,0.0,0.0,0.0
33,0.079631,0.012711,0.266671,0.0,0.0,0.0,0.2,0.7,0.9,0.0,0.0,0.0
34,0.078433,0.013687,0.276254,0.0,0.0,0.0,0.2,0.5,0.9,0.0,0.0,0.0
35,0.07706,0.014367,0.316985,0.0,0.0,0.0,0.2,0.8,1.0,0.0,0.0,0.0
36,0.075972,0.015945,0.307193,0.0,0.0,0.0,0.4,0.8,1.0,0.0,0.0,0.0
37,0.074761,0.015766,0.31505,0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,0.0
38,0.073739,0.017288,0.364473,0.0,0.0,0.0,0.4,0.8,0.9,0.0,0.0,0.0
39,0.072798,0.019765,0.376144,0.0,0.0,0.0,0.4,0.9,0.9,0.0,0.0,0.0
40,0.071989,0.016967,0.405158,0.0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,0.0
41,0.071213,0.018967,0.408033,0.0,0.0,0.0,0.6,0.9,1.0,0.0,0.0,0.0
42,0.070165,0.020817,0.415273,0.0,0.0,0.0,0.6,0.9,0.9,0.0,0.0,0.0
43,0.069424,0.022595,0.444833,0.0,0.0,0.0,0.4,0.9,0.9,0.0,0.0,0.0
44,0.068753,0.022955,0.472377,0.0,0.0,0.0,0.5,0.9,0.9,0.0,0.0,0.0
45,0.067968,0.023552,0.462145,0.0,0.0,0.0,0.4,0.9,0.9,0.0,0.0,0.0
46,0.067475,0.024419,0.466524,0.0,0.0,0.0,0.4,0.9,1.0,0.0,0.0,0.0
47,0.066812,0.025891,0.528519,0.0,0.0,0.0,0.6,0.9,1.0,0.0,0.0,0.0
48,0.0664,0.026457,0.522594,0.0,0.0,0.0,0.7,0.9,1.0,0.0,0.0,0.0
49,0.065915,0.026639,0.506357,0.0,0.0,0.0,0.7,0.9,0.9,0.0,0.0,0.0
50,0.065511,0.02812,0.538274,0.0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,0.0
51,0.064954,0.028888,0.52529,0.0,0.0,0.0,0.8,0.9,1.0,0.0,0.0,0.0
52,0.064585,0.029929,0.513846,0.0,0.0,0.0,0.7,0.9,0.9,0.0,0.0,0.0
53,0.064146,0.030638,0.601639,0.0,0.0,0.0,0.5,0.9,1.0,0.0,0.0,0.0
54,0.06366,0.032379,0.602862,0.0,0.0,0.0,0.7,0.9,1.0,0.0,0.0,0.0
55,0.063378,0.033707,0.637955,0.0,0.0,0.0,0.9,0.9,1.0,0.0,0.0,0.0
56,0.063173,0.035336,0.614506,0.0,0.0,0.0,0.7,0.9,0.9,0.0,0.0,0.0
57,0.062905,0.034529,0.640047,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
58,0.062733,0.038,0.609092,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
59,0.062418,0.036974,0.668866,0.0,0.0,0.0,0.9,0.9,1.0,0.0,0.0,0.0
60,0.062242,0.037358,0.672696,0.0,0.0,0.0,0.8,0.9,1.0,0.0,0.0,0.0
61,0.062145,0.04024,0.656129,0.0,0.0,0.0,0.9,0.9,1.0,0.0,0.0,0.0
62,0.062082,0.039204,0.679476,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
63,0.061969,0.038882,0.675435,0.0,0.0,0.0,0.9,0.9,1.0,0.0,0.0,0.0
64,0.062009,0.038811,0.679727,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
65,0.061786,0.039459,0.67947,0.0,0.0,0.0,0.9,0.9,1.0,0.0,0.0,0.0
66,0.061828,0.038135,0.682785,0.0,0.0,0.0,0.9,0.9,1.0,0.0,0.0,0.0
67,0.061793,0.040054,0.692288,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
68,0.061711,0.041684,0.691771,0.0,0.0,0.0,0.8,0.9,1.0,0.0,0.0,0.0
