epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.579127,0.011969,0.015425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.354727,0.010812,0.05834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.310311,0.007261,0.030747,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
3,0.276113,0.010232,0.035915,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
4,0.245163,0.011036,0.059077,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
5,0.216405,0.01018,0.085304,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
6,0.191622,0.009479,0.053098,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
7,0.173472,0.011604,0.063351,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
8,0.15453,0.008426,0.056956,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0
9,0.142226,0.009183,0.058743,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0
10,0.130463,0.008034,0.075074,0.0,0.0,0.0,0.1,0.2,0.5,0.0,0.0,0.0
11,0.122704,0.008712,0.065075,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0
12,0.114704,0.007911,0.067524,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.0
13,0.110853,0.009574,0.052429,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
14,0.102708,0.006762,0.11654,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.0
15,0.100406,0.008033,0.050405,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
16,0.098547,0.008954,0.062207,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0
17,0.095832,0.008545,0.053555,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
18,0.092598,0.007322,0.042244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.093278,0.009152,0.058381,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
20,0.090839,0.007953,0.051721,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
21,0.091572,0.008949,0.051512,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
22,0.090441,0.008447,0.056886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.090259,0.008631,0.108101,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0
24,0.08932,0.007841,0.04899,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
