epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.316925,0.040836,0.286543,0.0,0.0,0.0,0.077148,0.136719,0.256836,0.0,0.0,0.0
1,0.18126,0.039986,0.353386,0.0,0.0,0.0,0.113281,0.203125,0.484375,0.0,0.0,0.0
2,0.135244,0.039172,0.390755,0.0,0.0,0.0,0.066406,0.15625,0.463867,0.0,0.0,0.0
3,0.114316,0.037552,0.414218,0.0,0.0,0.0,0.047852,0.133789,0.427734,0.0,0.0,0.0
4,0.106734,0.040461,0.446353,0.0,0.0,0.0,0.033203,0.15918,0.462891,0.0,0.0,0.0
5,0.103547,0.046456,0.485524,0.0,0.0,0.0,0.05957,0.212891,0.509766,0.0,0.0,0.0
6,0.097097,0.050509,0.517019,0.0,0.0,0.0,0.066406,0.234375,0.548828,0.0,0.0,0.0
7,0.094683,0.056357,0.54867,0.0,0.0,0.0,0.078125,0.254883,0.595703,0.0,0.0,0.0
8,0.09389,0.063435,0.580886,0.0,0.0,0.0,0.098633,0.282227,0.626953,0.0,0.0,0.0
9,0.093378,0.059397,0.569943,0.0,0.0,0.0,0.074219,0.261719,0.588867,0.0,0.0,0.0
10,0.092046,0.062856,0.591732,0.0,0.0,0.0,0.084961,0.291016,0.589844,0.0,0.0,0.0
11,0.092147,0.067033,0.603902,0.0,0.0,0.0,0.086914,0.290039,0.615234,0.0,0.0,0.0
12,0.089339,0.06277,0.594202,0.0,0.0,0.0,0.101562,0.290039,0.597656,0.0,0.0,0.0
13,0.088958,0.065887,0.602923,0.0,0.0,0.0,0.085938,0.291992,0.605469,0.0,0.0,0.0
