epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.316291,0.008279,0.034522,0.0,0.0,0.0,0.09,0.13,0.25,0.0,0.0,0.0
0,0.449584,0.009252,0.043976,0.0,0.0,0.0,0.0,0.02,0.1,0.0,0.0,0.0
1,0.301422,0.008764,0.065517,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.0
2,0.222051,0.008987,0.053031,0.0,0.0,0.0,0.0,0.02,0.15,0.0,0.0,0.0
3,0.168047,0.00876,0.066506,0.0,0.0,0.0,0.01,0.02,0.14,0.0,0.0,0.0
4,0.13438,0.009241,0.08196,0.0,0.0,0.0,0.01,0.04,0.29,0.0,0.0,0.0
5,0.113325,0.008942,0.074557,0.0,0.0,0.0,0.0,0.05,0.21,0.0,0.0,0.0
6,0.100967,0.00875,0.069618,0.0,0.0,0.0,0.0,0.01,0.28,0.0,0.0,0.0
7,0.094719,0.00924,0.089225,0.0,0.0,0.0,0.0,0.05,0.31,0.0,0.0,0.0
8,0.091175,0.00887,0.084261,0.0,0.0,0.0,0.02,0.04,0.3,0.0,0.0,0.0
9,0.090141,0.008969,0.09217,0.0,0.0,0.0,0.02,0.08,0.35,0.0,0.0,0.0
