epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.56871,0.009219,0.050664,0.0,0.0,0.0,0.02,0.05,0.15,0.0,0.0,0.0
1,0.494513,0.009011,0.030304,0.0,0.0,0.0,0.0,0.01,0.1,0.0,0.0,0.0
2,0.425978,0.008906,0.032455,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
3,0.344428,0.008732,0.028,0.0,0.0,0.0,0.01,0.02,0.07,0.0,0.0,0.0
4,0.274314,0.008957,0.037235,0.0,0.0,0.0,0.0,0.04,0.18,0.0,0.0,0.0
5,0.217435,0.009094,0.068605,0.0,0.0,0.0,0.03,0.1,0.36,0.0,0.0,0.0
6,0.17235,0.008961,0.083691,0.0,0.0,0.0,0.07,0.14,0.36,0.0,0.0,0.0
7,0.137727,0.0087,0.101586,0.0,0.0,0.0,0.08,0.22,0.39,0.0,0.0,0.0
8,0.112337,0.008828,0.086671,0.0,0.0,0.0,0.09,0.18,0.42,0.0,0.0,0.0
9,0.094052,0.008987,0.095216,0.0,0.0,0.0,0.07,0.16,0.38,0.0,0.0,0.0
10,0.080019,0.008675,0.109098,0.0,0.0,0.0,0.08,0.16,0.39,0.0,0.0,0.0
11,0.070875,0.008736,0.090682,0.0,0.0,0.0,0.06,0.15,0.32,0.0,0.0,0.0
12,0.063389,0.008556,0.100605,0.0,0.0,0.0,0.09,0.17,0.33,0.0,0.0,0.0
13,0.058033,0.00874,0.119302,0.0,0.0,0.0,0.1,0.22,0.33,0.0,0.0,0.0
14,0.053912,0.008743,0.119691,0.0,0.0,0.0,0.11,0.17,0.32,0.0,0.0,0.0
15,0.051375,0.009155,0.127148,0.0,0.0,0.0,0.16,0.21,0.35,0.0,0.0,0.0
16,0.048924,0.009243,0.119856,0.0,0.0,0.0,0.14,0.21,0.41,0.0,0.0,0.0
17,0.047572,0.009142,0.114753,0.0,0.0,0.0,0.1,0.17,0.31,0.0,0.0,0.0
18,0.046117,0.009523,0.135559,0.0,0.0,0.0,0.17,0.24,0.37,0.0,0.0,0.0
19,0.044556,0.009542,0.152125,0.0,0.0,0.0,0.16,0.24,0.4,0.0,0.0,0.0
20,0.044031,0.009629,0.15244,0.0,0.0,0.0,0.18,0.21,0.37,0.0,0.0,0.0
21,0.043316,0.010219,0.177836,0.0,0.0,0.0,0.2,0.28,0.45,0.0,0.0,0.0
22,0.043596,0.010511,0.173577,0.0,0.0,0.0,0.19,0.26,0.45,0.0,0.0,0.0
23,0.04374,0.010984,0.177743,0.0,0.0,0.0,0.18,0.26,0.41,0.0,0.0,0.0
24,0.04315,0.01047,0.176412,0.0,0.0,0.0,0.21,0.24,0.44,0.0,0.0,0.0
