epoch, train_conf_loss, train_dice, train_comp, val_conf_loss, val_dice, val_comp, train_top10, train_top50, train_top300, val_top10, val_top50, val_top300
    0,        2.151337,   0.008664,   0.043077,           0.0,      0.0,      0.0,    0.038462,    0.096154,     0.230769,       0.0,       0.0,        0.0
    1,        1.987076,   0.008265,   0.013129,           0.0,      0.0,      0.0,    0.0     ,    0.096154,     0.173077,       0.0,       0.0,        0.0
    2,        1.889486,   0.008526,   0.045046,           0.0,      0.0,      0.0,    0.115385,    0.173077,     0.423077,       0.0,       0.0,        0.0
    3,        1.77242 ,   0.008968,   0.166857,           0.0,      0.0,      0.0,    0.615385,    0.692308,     0.807692,       0.0,       0.0,        0.0
    4,        1.680826,   0.009316,   0.237685,           0.0,      0.0,      0.0,    0.769231,    0.769231,     0.884615,       0.0,       0.0,        0.0
    5,        1.616883,   0.009447,   0.246522,           0.0,      0.0,      0.0,    0.807692,    0.846154,     0.903846,       0.0,       0.0,        0.0
    6,        1.559497,   0.00984 ,   0.277926,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.903846,       0.0,       0.0,        0.0
    7,        1.522364,   0.010247,   0.302841,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.923077,       0.0,       0.0,        0.0
    8,        1.484808,   0.010626,   0.314746,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.903846,       0.0,       0.0,        0.0
    9,        1.454472,   0.010912,   0.317034,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.884615,       0.0,       0.0,        0.0
   10,        1.430333,   0.01142 ,   0.339582,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.884615,       0.0,       0.0,        0.0
   11,        1.409088,   0.011702,   0.362475,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.884615,       0.0,       0.0,        0.0
   12,        1.391963,   0.012064,   0.375947,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.903846,       0.0,       0.0,        0.0
   13,        1.376361,   0.01246 ,   0.396349,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.923077,       0.0,       0.0,        0.0
   14,        1.363139,   0.012703,   0.396665,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.903846,       0.0,       0.0,        0.0
   15,        1.352356,   0.013049,   0.407011,           0.0,      0.0,      0.0,    0.807692,    0.846154,     0.884615,       0.0,       0.0,        0.0
   16,        1.342811,   0.013305,   0.412508,           0.0,      0.0,      0.0,    0.807692,    0.826923,     0.884615,       0.0,       0.0,        0.0
   17,        1.336546,   0.013497,   0.421739,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.942308,       0.0,       0.0,        0.0
   18,        1.330338,   0.013618,   0.428251,           0.0,      0.0,      0.0,    0.807692,    0.826923,     0.884615,       0.0,       0.0,        0.0
   19,        1.326713,   0.0138  ,   0.420834,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.903846,       0.0,       0.0,        0.0
   20,        1.3235  ,   0.01392 ,   0.430056,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.903846,       0.0,       0.0,        0.0
   21,        1.321074,   0.01397 ,   0.431291,           0.0,      0.0,      0.0,    0.807692,    0.846154,     0.923077,       0.0,       0.0,        0.0
   22,        1.320171,   0.014018,   0.45192 ,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.903846,       0.0,       0.0,        0.0
   23,        1.31913 ,   0.01404 ,   0.445254,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.884615,       0.0,       0.0,        0.0
   24,        1.318851,   0.014015,   0.450584,           0.0,      0.0,      0.0,    0.807692,    0.807692,     0.903846,       0.0,       0.0,        0.0
