epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.579267,0.007726,0.063172,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0
1,0.455851,0.012019,0.018572,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2,0.421989,0.006741,0.035189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.398571,0.005522,0.04916,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
4,0.376959,0.009768,0.028424,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
5,0.357155,0.007241,0.046626,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
6,0.340073,0.007569,0.02951,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
7,0.326355,0.009431,0.031694,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
8,0.31261,0.009438,0.029516,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
9,0.298861,0.008405,0.034703,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
10,0.286123,0.00425,0.024989,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
11,0.277846,0.007836,0.028751,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
12,0.268545,0.006345,0.030262,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
13,0.262027,0.009135,0.036464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.255425,0.008686,0.028715,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
15,0.250994,0.010455,0.044725,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
16,0.246005,0.01006,0.043772,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
17,0.241348,0.008768,0.042103,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
18,0.239678,0.010228,0.039202,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
19,0.236545,0.009282,0.050032,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0
20,0.232393,0.006065,0.060326,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
21,0.235425,0.011573,0.050603,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
22,0.23222,0.008178,0.074116,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23,0.232658,0.009011,0.054858,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0
24,0.232392,0.009174,0.04787,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
0,0.594025,0.010287,0.060593,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
1,0.502438,0.008688,0.062901,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2,0.437465,0.009034,0.012155,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
3,0.404878,0.010946,0.021814,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
4,0.382029,0.008089,0.020132,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
5,0.36044,0.009172,0.050859,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.0,0.0
6,0.338381,0.008303,0.040097,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
7,0.322803,0.011024,0.058031,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.0
8,0.301637,0.007409,0.100718,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
9,0.285063,0.007751,0.063043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.269568,0.007609,0.049791,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0
11,0.25783,0.008975,0.075832,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.0
12,0.246823,0.009967,0.022882,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
13,0.235747,0.009863,0.015427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
