epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,1.267175,0.009771,0.028739,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
1,1.132103,0.009595,0.014722,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
2,1.089047,0.009572,0.028042,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
3,1.051455,0.009752,0.036517,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
4,1.016961,0.009578,0.014473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.987186,0.009815,0.026412,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
6,0.961702,0.009934,0.034946,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
7,0.937363,0.010205,0.054279,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0
8,0.914141,0.010235,0.075326,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.0
9,0.890886,0.010706,0.102662,0.0,0.0,0.0,0.4,0.8,1.0,0.0,0.0,0.0
10,0.868907,0.010741,0.105438,0.0,0.0,0.0,0.4,0.9,1.0,0.0,0.0,0.0
11,0.84586,0.01107,0.126559,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
12,0.825439,0.011723,0.152598,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
13,0.809773,0.0117,0.155021,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
14,0.792644,0.012116,0.163965,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
15,0.776239,0.011755,0.149196,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
16,0.765551,0.012144,0.177025,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
17,0.758545,0.01268,0.193303,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
18,0.750369,0.012013,0.167354,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
19,0.745059,0.012567,0.190934,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
20,0.741946,0.012461,0.196031,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
21,0.738701,0.012633,0.198408,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
22,0.737356,0.012625,0.195341,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
23,0.736627,0.012621,0.191423,0.0,0.0,0.0,0.9,0.9,1.0,0.0,0.0,0.0
24,0.736236,0.012336,0.18174,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.0,0.0
