epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.762476,0.009891,0.056762,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
1,0.581971,0.009516,0.025475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.420751,0.009876,0.040815,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
3,0.381816,0.01,0.047608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.361217,0.010006,0.031323,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
5,0.344218,0.009982,0.018022,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
6,0.326796,0.009977,0.01755,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
7,0.308182,0.009972,0.050989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.290457,0.009949,0.031498,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
9,0.274262,0.009944,0.021557,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
10,0.258601,0.009924,0.01982,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
11,0.244755,0.009909,0.019143,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
12,0.231579,0.009892,0.017357,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
13,0.220281,0.009874,0.027396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.209146,0.009856,0.021303,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
15,0.199454,0.009828,0.014395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.189827,0.009821,0.023191,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
17,0.182314,0.009807,0.068297,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
18,0.174257,0.009776,0.031772,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0
19,0.16697,0.009745,0.014262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.160606,0.009753,0.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.155183,0.009708,0.06549,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
22,0.149694,0.009686,0.022202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.145018,0.00966,0.01767,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
24,0.140581,0.009653,0.054822,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
25,0.136838,0.009624,0.027971,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
26,0.133201,0.009588,0.016198,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
27,0.129926,0.00958,0.05863,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
28,0.126992,0.009551,0.026538,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
29,0.124214,0.009534,0.033357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.12172,0.009507,0.043075,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
31,0.119652,0.009486,0.031097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.117645,0.009461,0.028684,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0
33,0.115801,0.009441,0.055045,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
34,0.11414,0.009428,0.076908,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
35,0.112596,0.009402,0.089627,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
36,0.111257,0.009388,0.042894,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
37,0.110069,0.009371,0.128362,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
38,0.108898,0.009348,0.07736,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
39,0.1077,0.009335,0.067628,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
40,0.106876,0.009309,0.029749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.105961,0.009306,0.103715,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
42,0.105205,0.00928,0.036555,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
43,0.104475,0.009283,0.046421,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
44,0.103829,0.009262,0.090336,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
45,0.103192,0.009251,0.05801,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
46,0.102693,0.009239,0.089753,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
47,0.102164,0.009222,0.062731,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
48,0.10176,0.009214,0.090908,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
49,0.101404,0.009213,0.069186,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
50,0.10099,0.0092,0.090163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.100631,0.009182,0.058122,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0
52,0.100399,0.009183,0.073749,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
53,0.100101,0.009178,0.118158,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
54,0.099942,0.009174,0.072449,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
55,0.099685,0.009171,0.092241,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
56,0.099515,0.00916,0.069092,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
57,0.099352,0.009154,0.11643,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0
58,0.099233,0.009149,0.106237,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
59,0.099112,0.009151,0.079579,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
60,0.099058,0.009151,0.104798,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0
61,0.09894,0.009146,0.071012,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
62,0.09889,0.00914,0.13673,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
63,0.098853,0.009138,0.111987,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
64,0.09882,0.009139,0.083081,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
65,0.098767,0.00914,0.094992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.098759,0.009139,0.098245,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
67,0.09875,0.009132,0.067935,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
68,0.098733,0.009139,0.134174,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
