epoch, train_conf_loss, train_dice, train_comp, val_conf_loss, val_dice, val_comp, train_top10, train_top50, train_top300, val_top10, val_top50, val_top300
    0,        0.428369,   0.041106,   0.267838,           0.0,      0.0,      0.0,    0.117188,    0.161133,     0.266602,       0.0,       0.0,        0.0
    1,        0.256678,   0.040994,   0.335   ,           0.0,      0.0,      0.0,    0.174805,    0.250977,     0.489258,       0.0,       0.0,        0.0
    2,        0.176844,   0.041463,   0.381001,           0.0,      0.0,      0.0,    0.089844,    0.192383,     0.500977,       0.0,       0.0,        0.0
    3,        0.135359,   0.040812,   0.402161,           0.0,      0.0,      0.0,    0.040039,    0.147461,     0.4375  ,       0.0,       0.0,        0.0
    4,        0.112496,   0.039674,   0.426027,           0.0,      0.0,      0.0,    0.038086,    0.141602,     0.462891,       0.0,       0.0,        0.0
    5,        0.107293,   0.042753,   0.457199,           0.0,      0.0,      0.0,    0.041016,    0.160156,     0.485352,       0.0,       0.0,        0.0
    6,        0.101747,   0.048426,   0.495202,           0.0,      0.0,      0.0,    0.057617,    0.217773,     0.543945,       0.0,       0.0,        0.0
    7,        0.099955,   0.051768,   0.515926,           0.0,      0.0,      0.0,    0.06543 ,    0.233398,     0.581055,       0.0,       0.0,        0.0
    8,        0.094073,   0.054043,   0.539374,           0.0,      0.0,      0.0,    0.080078,    0.257812,     0.583008,       0.0,       0.0,        0.0
    9,        0.093356,   0.055725,   0.548826,           0.0,      0.0,      0.0,    0.083984,    0.268555,     0.577148,       0.0,       0.0,        0.0
   10,        0.093239,   0.058037,   0.563509,           0.0,      0.0,      0.0,    0.09082 ,    0.27832 ,     0.571289,       0.0,       0.0,        0.0
   11,        0.093857,   0.059875,   0.570161,           0.0,      0.0,      0.0,    0.078125,    0.273438,     0.567383,       0.0,       0.0,        0.0
   12,        0.091493,   0.062183,   0.583887,           0.0,      0.0,      0.0,    0.076172,    0.299805,     0.609375,       0.0,       0.0,        0.0
   13,        0.093723,   0.063107,   0.583362,           0.0,      0.0,      0.0,    0.080078,    0.288086,     0.598633,       0.0,       0.0,        0.0
   14,        0.092738,   0.060753,   0.580761,           0.0,      0.0,      0.0,    0.082031,    0.286133,     0.588867,       0.0,       0.0,        0.0
   15,        0.091817,   0.062397,   0.581362,           0.0,      0.0,      0.0,    0.080078,    0.287109,     0.585938,       0.0,       0.0,        0.0
