epoch,train_conf_loss,train_dice,train_comp,val_conf_loss,val_dice,val_comp,train_top10,train_top50,train_top300,val_top10,val_top50,val_top300
0,0.231167,0.050116,0.510609,0.0,0.0,0.0,0.083008,0.279297,0.59082,0.0,0.0,0.0
1,0.230935,0.039066,0.440778,0.0,0.0,0.0,0.05957,0.19043,0.482422,0.0,0.0,0.0
2,0.232804,0.037126,0.417714,0.0,0.0,0.0,0.061523,0.189453,0.470703,0.0,0.0,0.0
0,0.094794,0.055367,0.553363,0.0,0.0,0.0,0.068359,0.243164,0.563477,0.0,0.0,0.0
1,0.094231,0.05133,0.541016,0.0,0.0,0.0,0.066406,0.239258,0.547852,0.0,0.0,0.0
2,0.097002,0.043751,0.497489,0.0,0.0,0.0,0.055664,0.1875,0.457031,0.0,0.0,0.0
3,0.101247,0.041626,0.476055,0.0,0.0,0.0,0.061523,0.155273,0.422852,0.0,0.0,0.0
4,0.099541,0.043508,0.501726,0.0,0.0,0.0,0.049805,0.183594,0.456055,0.0,0.0,0.0
5,0.09792,0.041917,0.498216,0.0,0.0,0.0,0.057617,0.227539,0.480469,0.0,0.0,0.0
6,0.100103,0.049455,0.526271,0.0,0.0,0.0,0.064453,0.237305,0.538086,0.0,0.0,0.0
